Date,sap_daily
04/08/2021,0.450086372
05/08/2021,1.832275336
06/08/2021,3.559720996
07/08/2021,2.998391412
08/08/2021,1.47633401
09/08/2021,3.03633025
10/08/2021,3.94144186
11/08/2021,3.845743389
12/08/2021,3.908253745
13/08/2021,3.847462078
14/08/2021,3.95721278
15/08/2021,4.115988371
16/08/2021,1.072842418
17/08/2021,2.732142127
18/08/2021,2.609426422
19/08/2021,3.14917992
20/08/2021,3.652895944
21/08/2021,4.00707566
22/08/2021,1.731048846
23/08/2021,2.81128336
24/08/2021,2.222604956
25/08/2021,3.425631587
26/08/2021,3.169879276
27/08/2021,2.272532069
28/08/2021,0.947660713
29/08/2021,0.24999196
30/08/2021,0.407548272
31/08/2021,1.646806596
01/09/2021,3.288855301
02/09/2021,3.78655394
03/09/2021,3.740038996
04/09/2021,3.222504662
05/09/2021,3.454405225
06/09/2021,3.806183104
07/09/2021,3.522932042
08/09/2021,3.565269645
09/09/2021,3.308660556
10/09/2021,3.004346052
11/09/2021,2.692903744
12/09/2021,3.128309141
13/09/2021,3.314639441
14/09/2021,3.515572913
16/09/2021,0.499090063
17/09/2021,1.922824629
18/09/2021,2.904952574
19/09/2021,0.628579671
20/09/2021,0.483818816
21/09/2021,2.153115014
22/09/2021,2.595666731
23/09/2021,3.567986186
24/09/2021,3.002960367
25/09/2021,3.079027687
26/09/2021,0.467046625
27/09/2021,2.319999645
28/09/2021,2.442604199
29/09/2021,1.146891278
30/09/2021,1.816804911
01/10/2021,2.729398374
02/10/2021,2.739114976
03/10/2021,3.250396404
04/10/2021,0.395596956
05/10/2021,0.250583532
06/10/2021,0.473028515
07/10/2021,0.451199508
08/10/2021,1.375640034
09/10/2021,1.390834446
10/10/2021,1.477025
11/10/2021,1.549772383
12/10/2021,0.576597959
13/10/2021,0.376631437
14/10/2021,0.898128257
15/10/2021,1.567302324
16/10/2021,1.675843271
17/10/2021,1.886348443
18/10/2021,1.950117564
19/10/2021,1.611506536
20/10/2021,2.075114346
21/10/2021,0.397203086
22/10/2021,1.030305232
23/10/2021,0.894742959
24/10/2021,1.794408168
25/10/2021,1.659142162
26/10/2021,0.598833341
27/10/2021,1.453633057
28/10/2021,1.46946517
29/10/2021,1.831034997
30/10/2021,1.183267727
31/10/2021,1.282760739
01/11/2021,0.397106049
02/11/2021,0.311236297
03/11/2021,0.487126342
04/11/2021,0.41636916
05/11/2021,0.84570324
06/11/2021,0.597984397
07/11/2021,0.472687631
08/11/2021,0.590223596
09/11/2021,0.619581378
10/11/2021,0.2886361
11/11/2021,0.372204559
12/11/2021,0.508265601
13/11/2021,0.432673655
14/11/2021,0.506261851
15/11/2021,0.364451651
16/11/2021,0.407649459
17/11/2021,0.365020515
18/11/2021,0.411603434
19/11/2021,0.420353315
20/11/2021,0.436029245
21/11/2021,0.391550727
22/11/2021,0.451729256
23/11/2021,0.802148502
24/11/2021,0.815097957
25/11/2021,0.609594432
26/11/2021,0.985516537
27/11/2021,1.080573987
28/11/2021,0.38466806
29/11/2021,0.579279243
30/11/2021,2.017044
01/12/2021,0.827372023
02/12/2021,0.355561326
03/12/2021,2.99936734
04/12/2021,2.945045993
05/12/2021,0.481612403
06/12/2021,1.197189951
07/12/2021,0.755581958
08/12/2021,0.422494014
09/12/2021,0.168265508
10/12/2021,0.770522597
11/12/2021,0.526743582
12/12/2021,0.228277651
13/12/2021,0.16027552
14/12/2021,0.109770429
15/12/2021,0.227727726
16/12/2021,0.0791375
17/12/2021,0.324645974
18/12/2021,0.583176718
19/12/2021,0.854707847
20/12/2021,0.322948668
21/12/2021,1.008834541
22/12/2021,1.166806253
