Date,uWUEa,T (mm/d),ET (mm/d)
1997/1/1,54.54969369881081,0.006117922,0.07057051
1997/1/2,19.55384963607507,0.008779951,0.2825344615394459
1997/1/3,21.021096189667418,0.007858238,0.2352239002183223
1997/1/4,28.326556913466938,0.012439066808155682,0.2763157421308464
1997/1/5,36.62606851414496,0.005636656,0.096837339
1997/1/6,143.05472099383076,0.029963865116397148,0.13179752529300978
1997/1/7,83.76186578113204,0.027596387,0.20730869048669684
1997/1/8,76.20478263331754,0.026589872,0.21955616271570752
1997/1/9,133.37673057033788,0.059086311,0.2787522765543072
1997/1/10,153.6812443176215,0.029438443,0.12053289274679165
1997/1/11,202.5947042,0.045901063,0.1425628170030621
1997/1/12,229.88864892118505,0.078900448,0.2159601196321488
1997/1/13,427.62218099368397,0.1902685046574116,0.27997438403453606
1997/1/14,442.7620679319143,0.11578330184169645,0.16454592834350162
1997/1/15,249.23676842442666,0.16245667742134404,0.41014467008759503
1997/1/16,89.97925997927184,0.06002396,0.41975303116102075
1997/1/17,469.0172525380159,0.14419943252221504,0.19345784692523876
1997/1/18,193.63609777562266,0.064075953,0.20821900771046856
1997/1/19,910.4598490284197,0.21172072840942227,0.14632353957120792
1997/1/20,44.709670876245205,0.020664139,0.29082214145613045
1997/1/21,73.99846228,0.060012462,0.5103056397345442
1997/1/22,261.7203927389033,0.27427830974801765,0.6594251672139815
1997/1/23,570.1508482801847,0.22389956274980968,0.24710133268052858
1997/1/24,497.5902807639087,0.25186029491406275,0.31849266565577483
1997/1/25,411.5528278600199,0.21235355542197312,0.324672544
1997/1/26,445.3112225939561,0.22960618502339947,0.3244378834473775
1997/1/27,32.159731494377986,0.038607174288143434,0.7553830214830467
1997/1/28,109.72300019555975,0.07092631,0.406744141
1997/1/29,287.1336916793628,0.090636846,0.1986242396524241
1997/1/30,543.2855062575057,0.23450739181355718,0.2716064220028675
1997/1/31,499.16413219879416,0.2503466796182126,0.31558044297224097
1997/2/1,304.7816339544112,0.1537842913005243,0.31749347158683106
1997/2/2,268.4959370239183,0.18981258213435348,0.444834944
1997/2/3,339.58172739708533,0.091665218,0.16985247490009117
1997/2/4,192.40039994213214,0.048668588,0.15916749773921965
1997/2/5,211.61315956726955,0.074469525,0.22143564289215031
1997/2/6,39.725668299680216,0.042224941,0.6688203227170232
1997/2/7,103.15858506679031,0.077533579,0.472929137
1997/2/8,117.20282189561345,0.057044326,0.3062569838950132
1997/2/9,173.23349661506285,0.039043414,0.14181675073816702
1997/2/10,183.41914097296046,0.014894146682836076,0.051095492
1997/2/11,81.72584828,0.040617908,0.31273013439784436
1997/2/12,24.573798872813747,0.04253162,1.0890585716318122
1997/2/13,36.96153096600718,0.035698092,0.6077243890638364
1997/2/14,8.460214285105183,0.009938914,0.7392123301031744
1997/2/15,6.818574565929257,0.019234901,1.775039336982131
1997/2/16,47.54171848569274,0.063876422,0.8454293496370077
1997/2/17,33.694212140900376,0.039638267,0.7402372995138432
1997/2/18,23.254773381041467,0.041822436001108854,1.1316414086459223
1997/2/19,34.15843518552445,0.075953353,1.3991381531103317
1997/2/20,46.87368318784537,0.081275318,1.0910413635127718
1997/2/21,214.33597716104936,0.12553593800328638,0.3685399849318338
1997/2/22,174.89044826752678,0.14719952702992828,0.5296048342224451
1997/2/23,135.4911742182548,0.15350790547948875,0.7129045007368385
1997/2/24,60.13263413376411,0.064890985,0.6790249812478786
1997/2/25,172.34578450381375,0.12054251376491687,0.4400998248164857
1997/2/26,8.417369556165795,0.020930379951608732,1.5646324544619945
1997/2/27,6.979323932680937,0.018886833926363297,1.7027756175625426
1997/2/28,19.202128806071595,0.029123470226211555,0.954344908
1997/3/1,182.0474421782966,0.11916218590298462,0.4118750616723107
1997/3/2,175.58481810125053,0.14934141979483953,0.5351862301030769
1997/3/3,177.7437223,0.099990766,0.3539787898048632
1997/3/4,305.7061374587676,0.25635999337601895,0.5276642983013663
1997/3/5,83.63423729001492,0.090633019,0.6818894381125188
1997/3/6,13.320733595585729,0.065320679,3.085561194972815
1997/3/7,147.16828680039472,0.24853550848861802,1.062639189333324
1997/3/8,300.26807150957916,0.23183923387590177,0.48583566756389684
1997/3/9,537.0246347250077,0.4351903551042499,0.5099136882134461
1997/3/10,511.80342960234407,0.28735618075476654,0.3532880666315698
1997/3/11,472.27948081979804,0.2807135108407688,0.37400366304808835
1997/3/12,540.2908234819241,0.3766221616672513,0.4386214814360999
1997/3/13,315.8421804426744,0.36728621157953484,0.7317219995514983
1997/3/14,214.33093937060957,0.34290722946752855,1.0067077014095274
1997/3/15,37.29615118945943,0.11242309803547479,1.8967196751432396
1997/3/16,82.99636379,0.16879079633617525,1.2796797970078961
1997/3/17,102.31171203298194,0.2434260348904917,1.4971085480272428
1997/3/18,197.73683303141982,0.39367996872797606,1.2527585064874007
1997/3/19,11.350669063021627,0.045583021,2.526930267632016
1997/3/20,20.743975398567635,0.090207215,2.736282323052093
1997/3/21,24.771060504671144,0.056572834,1.4370601699756258
1997/3/22,38.39182964622539,0.067634425,1.108512534436553
1997/3/23,235.98729492209853,0.42432181585986745,1.131405683106428
1997/3/24,14.872891018224527,0.072825275,3.0810472406473526
1997/3/25,18.550450572080397,0.0655202,2.222451903543137
1997/3/26,66.94534996035114,0.1529654812071979,1.4377541773428075
1997/3/27,143.52596257692008,0.12162418269416998,0.5332134352332584
1997/3/28,16.79230026522982,0.050394174,1.8883468004492077
1997/3/29,15.910686056469904,0.043289022,1.7119870882825536
1997/3/30,18.890110079592446,0.034521319002648924,1.1499117437686752
