"Date","TreeNumber","SFDm"
2010-03-21,"34",0.28663324393732
2010-03-22,"1",0.293038647304213
2010-03-22,"148",0.0334498162101447
2010-03-22,"34",0.290628923010246
2010-03-23,"1",0.523915210260269
2010-03-23,"148",0.0229346038086102
2010-03-23,"150",0.148630103282513
2010-03-23,"34",0.377495234215531
2010-03-24,"1",0.699756805704669
2010-03-24,"148",0.25568265876057
2010-03-24,"150",0.251345814355421
2010-03-24,"34",1.6682071652095
2010-03-24,"37",0.43972432831773
2010-03-25,"1",0.926665550252435
2010-03-25,"148",0.193116651141634
2010-03-25,"150",0.366297302694122
2010-03-25,"30",0.0487368976331896
2010-03-25,"34",1.02750285983554
2010-03-25,"37",0.985988010988631
2010-03-26,"1",1.20754166486317
2010-03-26,"148",0.515698301531375
2010-03-26,"150",0.335305481741051
2010-03-26,"30",0.0712937653377053
2010-03-26,"34",1.10827220796864
2010-03-26,"37",1.48037350314467
2010-03-27,"1",0.101612567810194
2010-03-27,"148",0.940824607959235
2010-03-27,"150",0.272503939083959
2010-03-27,"30",0.270659111468162
2010-03-27,"34",0.131527768252427
2010-03-27,"37",0.664152945049926
2010-03-28,"1",0.0515036628759708
2010-03-28,"148",0.144944776038678
2010-03-28,"150",0.0916203066035541
2010-03-28,"30",0.154411949524812
2010-03-28,"34",0.0505842283542317
2010-03-28,"37",0.0328692487546115
2010-03-29,"1",0.434746049936263
2010-03-29,"147",0.125895512206649
2010-03-29,"148",0.453278964322173
2010-03-29,"150",0.320871745044517
2010-03-29,"30",0.303006791081307
2010-03-29,"34",0.582719994472755
2010-03-29,"37",0.660158438969156
2010-03-30,"1",0.759506037810421
2010-03-30,"147",0.031721545502317
2010-03-30,"148",0.337059414265381
2010-03-30,"150",0.390842608097881
2010-03-30,"30",0.244111272909362
2010-03-30,"34",1.16174243676921
2010-03-30,"37",0.978269245187099
2010-03-31,"1",0.0561328791487574
2010-03-31,"147",0.0360243612908257
2010-03-31,"148",0.333514877387459
2010-03-31,"150",0.167994723698636
2010-03-31,"30",0.173699216548898
2010-03-31,"34",0.151030239449265
2010-03-31,"37",0.149886723591537
2010-04-01,"1",0.180260028367913
2010-04-01,"147",0.0777374703494833
2010-04-01,"148",0.26156329737196
2010-04-01,"150",0.148689629445067
2010-04-01,"30",0.0750445746089907
2010-04-01,"34",0.0815743718715237
2010-04-01,"37",0.162087556102906
2010-04-02,"1",0.357722091887503
2010-04-02,"147",0.165845695656686
2010-04-02,"148",0.66485460996069
2010-04-02,"150",0.382583797545711
2010-04-02,"296",1.28210599463813
2010-04-02,"30",0.122838306322513
2010-04-02,"34",0.120658873159155
2010-04-02,"37",0.477794509585874
2010-04-03,"147",0.0998825693593074
2010-04-03,"148",0.406988879608561
2010-04-03,"150",0.297409520679822
2010-04-03,"296",1.30974065278548
2010-04-03,"30",0.0848413693894016
2010-04-03,"34",0.131730611792321
2010-04-03,"37",0.54221917970955
2010-04-04,"147",0.00741233018720364
2010-04-04,"148",0.188503046167536
2010-04-04,"150",0.0370818801276589
2010-04-04,"296",0.412746472432679
2010-04-04,"30",0.23416728521692
2010-04-04,"34",0.073323341233418
2010-04-04,"37",0.155748032495266
2010-04-05,"1",0.0825469539164353
2010-04-05,"147",0.0245685105286353
2010-04-05,"148",0.149823999512819
2010-04-05,"150",0.0404833606316971
2010-04-05,"296",0.760618952217355
2010-04-05,"30",0.135050663912683
2010-04-05,"34",0.0454330544809767
2010-04-05,"37",0.137866646057923
2010-04-06,"147",0.191475621610705
2010-04-06,"148",0.811928679650749
2010-04-06,"150",0.519078476883849
2010-04-06,"296",1.44315561688272
2010-04-06,"30",0.234457606081628
2010-04-06,"34",0.162624541440715
2010-04-06,"37",1.0111928181416
2010-04-07,"147",0.26114224271352
2010-04-07,"148",0.47751318227888
2010-04-07,"150",0.28833678762667
2010-04-07,"296",1.08950887610661
2010-04-07,"30",0.610249483640447
2010-04-07,"34",0.818393669550238
2010-04-07,"37",0.415632494912425
2010-04-08,"147",0.366477513358267
2010-04-08,"148",0.614746295925731
2010-04-08,"150",0.551404564345067
2010-04-08,"296",1.36322905400115
2010-04-08,"30",0.910836327829194
2010-04-08,"34",1.03971759172581
2010-04-08,"37",1.12326699495598
2010-04-09,"1",1.17801402968607
2010-04-09,"147",0.208281850994452
2010-04-09,"148",0.549202757933
2010-04-09,"150",0.97902273252286
2010-04-09,"296",2.80935568152339
2010-04-09,"30",0.92265510332886
2010-04-09,"34",1.72120966883697
2010-04-09,"37",0.828901459028592
2010-04-09,"411",0.622271868349231
2010-04-10,"1",1.30569260625263
2010-04-10,"147",0.0973943237772436
2010-04-10,"148",0.523654086313074
2010-04-10,"150",0.830894869939236
2010-04-10,"296",2.58765794558975
2010-04-10,"30",0.644356588597501
2010-04-10,"34",1.36700216008331
2010-04-10,"37",0.601542418123429
2010-04-10,"411",0.384288322157857
2010-04-11,"1",0.13417770258392
2010-04-11,"147",0.240602783747704
2010-04-11,"148",0.451640676159428
2010-04-11,"150",0.214261359885712
2010-04-11,"296",0.556884053191282
2010-04-11,"30",0.16109590649675
2010-04-11,"34",0.213800355485602
2010-04-11,"37",0.439435127086767
2010-04-11,"411",0.425566415837844
2010-04-12,"1",0.224247176585253
2010-04-12,"147",0.0712876288754336
2010-04-12,"148",0.414216639629182
2010-04-12,"150",0.316456860255748
2010-04-12,"296",0.541596043524489
2010-04-12,"30",0.0883653023454953
2010-04-12,"33",0.223340230646374
2010-04-12,"34",0.111370043750127
2010-04-12,"37",0.431321924443508
2010-04-12,"411",0.497196403153647
2010-04-13,"1",0.168637203817396
2010-04-13,"147",0.0714191065527002
2010-04-13,"148",0.335620547575268
2010-04-13,"150",0.284968006210686
2010-04-13,"296",0.833689075556815
2010-04-13,"30",0.147901065286843
2010-04-13,"33",0.228113440776688
2010-04-13,"34",0.0691207079242513
2010-04-13,"37",0.236554076938855
2010-04-13,"411",0.275109137426183
2010-04-14,"1",0.0243523378416952
2010-04-14,"147",0.0646876702103294
2010-04-14,"148",0.0859020277987276
2010-04-14,"150",0.0518346196825279
2010-04-14,"296",0.176372052541684
2010-04-14,"30",0.0289215181299536
